City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,Talnakh,69.4865,88.3972,-26.63,97,100,7.18,RU,2023-01-12 19:46:05
139,Labuhan,-6.8844,112.2051,76.06,85,100,8.46,ID,2023-01-12 19:46:06
140,Egvekinot,66.3167,-179.1667,-11.65,88,88,12.3,RU,2023-01-12 19:46:08
141,Bonavista,48.6499,-53.1147,20.79,68,81,13.06,CA,2023-01-12 19:46:09
142,Alugan,12.2188,125.4808,76.39,92,100,14.43,PH,2023-01-12 19:46:10
143,Constitucion,-35.3333,-72.4167,67.1,55,17,19.17,CL,2023-01-12 19:45:56
144,Bilibino,68.0546,166.4372,-20.06,81,32,2.71,RU,2023-01-12 19:46:14
145,Huarmey,-10.0681,-78.1522,74.12,71,91,12.01,PE,2023-01-12 19:46:14
146,Hirado,33.3597,129.5531,58.39,77,100,23.62,JP,2023-01-12 19:46:15
147,Aklavik,68.2191,-135.0107,-5.8,84,75,6.91,CA,2023-01-12 19:46:16
148,Najran,17.4924,44.1277,61.45,57,79,3.65,SA,2023-01-12 19:46:19
149,Ambilobe,-13.2,49.05,73.22,98,100,1.1,MG,2023-01-12 19:46:19
150,Berdigestyakh,62.0989,126.6992,-40.63,100,100,2.15,RU,2023-01-12 19:46:20
151,Asyut,27.181,31.1837,55.58,49,0,7.47,EG,2023-01-12 19:46:22
152,Tshikapa,-6.4167,20.8,67.96,95,47,2.24,CD,2023-01-12 19:46:25
153,Lavrentiya,65.5833,-171.0,4.75,97,94,2.35,RU,2023-01-12 19:46:25
154,Kapaa,22.0752,-159.319,71.19,81,40,6.91,US,2023-01-12 19:46:27
155,Avarua,-21.2078,-159.775,78.85,73,75,9.22,CK,2023-01-12 19:45:24
156,Tazovskiy,67.4667,78.7,-31.86,98,37,9.06,RU,2023-01-12 19:46:31
157,Butaritari,3.0707,172.7902,79.63,82,65,14.16,KI,2023-01-12 19:46:32
158,Calabozo,8.9242,-67.4293,88.9,42,100,6.46,VE,2023-01-12 19:46:32
159,Broken Hill,-31.95,141.4333,77.67,34,5,3.27,AU,2023-01-12 19:46:33
160,Torbay,47.6666,-52.7314,20.57,79,40,18.41,CA,2023-01-12 19:46:34
161,Fairbanks,64.8378,-147.7164,5.59,83,75,0.0,US,2023-01-12 19:46:35
162,Tymovskoye,50.8456,142.655,6.35,96,100,4.07,RU,2023-01-12 19:46:36
163,Magan,39.9683,-3.931,51.31,77,100,5.7,ES,2023-01-12 19:46:36
164,Cape Town,-33.9258,18.4232,68.88,70,75,11.5,ZA,2023-01-12 19:45:47
165,Umm Kaddadah,13.6017,26.6876,61.36,28,12,14.27,SD,2023-01-12 19:46:36
166,Boyolangu,-8.1181,111.8935,74.88,82,99,3.27,ID,2023-01-12 19:46:37
167,Hailun,47.45,126.9333,9.05,90,33,12.82,CN,2023-01-12 19:46:37
168,Ancud,-41.8697,-73.8203,60.04,63,31,7.76,CL,2023-01-12 19:46:37
169,Mount Gambier,-37.8333,140.7667,57.83,96,100,6.26,AU,2023-01-12 19:46:38
170,Aksarka,66.5606,67.7975,-26.03,100,81,1.79,RU,2023-01-12 19:46:38
171,Yeppoon,-23.1333,150.7333,71.38,85,100,10.6,AU,2023-01-12 19:46:38
